"Time","Marvel"
"2021-01-01",56
"2021-02-01",67
"2021-03-01",64
"2021-04-01",68
"2021-05-01",56
"2021-06-01",55
"2021-07-01",75
"2021-08-01",65
"2021-09-01",64
"2021-10-01",56
"2021-11-01",70
"2021-12-01",85
"2022-01-01",100
"2022-02-01",69
"2022-03-01",59
"2022-04-01",71
"2022-05-01",83
"2022-06-01",85
"2022-07-01",93
"2022-08-01",63
"2022-09-01",57
"2022-10-01",55
"2022-11-01",56
"2022-12-01",55
"2023-01-01",53
"2023-02-01",55
"2023-03-01",42
"2023-04-01",45
"2023-05-01",52
"2023-06-01",54
"2023-07-01",52
"2023-08-01",46
"2023-09-01",39
"2023-10-01",44
"2023-11-01",57
"2023-12-01",47
"2024-01-01",47